feature,vif
총공원면적(㎡),21.6966772908537
최대공원면적(㎡),10.99096999077377
공원수,5.827687830573714
계약연도,2.6872333490901665
계약월,2.6728731859419885
동_고등학교수,2.1503121719971685
동_초등학교수,1.6850625020997136
동_중학교수,1.572834234396007
건물연령(계약기준),1.493613259879136
전용면적(㎡),1.2413137217829315
층,1.1094638278112452
