Model,RMSE_A,RMSE_B,ΔRMSE,MAE_A,MAE_B,ΔMAE,R2_A,R2_B,ΔR2
Ridge,2974.2112948443014,2976.0129398288536,1.8016449845522402,2166.421885697084,2170.071005089849,3.649119392765442,0.8144922439416568,0.8142674311676485,-0.00022481277400820954
RandomForest,2346.101078274442,2334.2417551299,-11.859323144542032,1560.3120894709273,1543.5167665309702,-16.795322939957032,0.8845718133010725,0.8857358214054704,0.0011640081043978734
XGBoost,2232.7177592791645,2245.8867770952816,13.169017816117048,1498.9499923871483,1516.7823067453228,17.83231435817447,0.8954591351471395,0.8942222922599496,-0.0012368428871898374
